decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
decrement 0; decrement 0; decrement 0; decrement 0;decrement 0; decrement 0; decrement 0; decrement 0
increment 0; increment 0; increment 0; increment 0;increment 0; increment 0; increment 0; increment 0
